Date,Site,Kpar
2015-01-01,BP13_s2,0.28864941000938416
2015-01-01,BP14_s2,0.313269704580307
2015-01-01,LH01_s2,0.42238473892211914
2015-01-01,LH02_s2,0.5650982856750488
2015-01-01,LH07_s2,0.5577812194824219
2015-01-01,LH10_s2,0.4744128882884979
2015-01-01,PB02_s2,NA
2015-01-01,PB03_s2,NA
2015-01-01,PB10_s2,NA
2015-01-01,PB11_s2,NA
2015-01-01,PL02_s2,NA
2015-01-01,PL03_s2,NA
2015-01-01,PL14_s2,NA
2015-01-01,PL16_s2,0.31691738963127136
2015-02-01,BP01_s2,0.3820847272872925
2015-02-01,BP02_s2,0.3189648389816284
2015-02-01,BP03_s2,0.34875547885894775
2015-02-01,BP05_s2,0.3079622983932495
2015-02-01,BP06_s2,0.30526003241539
2015-02-01,BP08_s2,0.2817123830318451
2015-02-01,BP10_s2,0.31167152523994446
2015-02-01,BP13_s2,0.4050711393356323
2015-02-01,BP14_s2,0.37579503655433655
2015-02-01,LH01_s2,0.6572890281677246
2015-02-01,LH02_s2,0.7135172486305237
2015-02-01,LH07_s2,0.7446228861808777
2015-02-01,LH10_s2,0.7029334306716919
2015-02-01,PB02_s2,NA
2015-02-01,PB03_s2,NA
2015-02-01,PB10_s2,NA
2015-02-01,PB11_s2,NA
2015-02-01,PL02_s2,NA
2015-02-01,PL03_s2,NA
2015-02-01,PL14_s2,NA
2015-02-01,PL16_s2,0.4164062440395355
2015-03-01,BP01_s2,0.4403747320175171
2015-03-01,BP02_s2,0.39102718234062195
2015-03-01,BP03_s2,0.392732173204422
2015-03-01,BP05_s2,0.373529314994812
2015-03-01,BP06_s2,0.3746216595172882
2015-03-01,BP08_s2,0.31950488686561584
2015-03-01,BP10_s2,0.3788928687572479
2015-03-01,BP13_s2,0.40360090136528015
2015-03-01,BP14_s2,0.31157246232032776
2015-03-01,LH01_s2,0.5199822783470154
2015-03-01,LH02_s2,0.6081950664520264
2015-03-01,LH07_s2,0.5946263670921326
2015-03-01,LH10_s2,0.6242717504501343
2015-03-01,PB02_s2,NA
2015-03-01,PB03_s2,NA
2015-03-01,PB10_s2,NA
2015-03-01,PB11_s2,NA
2015-03-01,PL02_s2,NA
2015-03-01,PL03_s2,NA
2015-03-01,PL14_s2,NA
2015-03-01,PL16_s2,NA
2015-04-01,BP01_s2,0.522689700126648
2015-04-01,BP02_s2,0.6084222793579102
2015-04-01,BP03_s2,NA
2015-04-01,BP05_s2,NA
2015-04-01,BP06_s2,NA
2015-04-01,BP08_s2,0.2451539784669876
2015-04-01,BP10_s2,0.37576228380203247
2015-04-01,BP13_s2,0.24160891771316528
2015-04-01,BP14_s2,0.27543020248413086
2015-04-01,LH01_s2,NA
2015-04-01,LH02_s2,NA
2015-04-01,LH07_s2,0.4783819913864136
2015-04-01,LH10_s2,NA
2015-04-01,PB02_s2,NA
2015-04-01,PB03_s2,NA
2015-04-01,PB10_s2,NA
2015-04-01,PB11_s2,NA
2015-04-01,PL02_s2,NA
2015-04-01,PL03_s2,NA
2015-04-01,PL14_s2,NA
2015-04-01,PL16_s2,NA
2015-05-01,BP01_s2,0.465044230222702
2015-05-01,BP02_s2,0.5186331868171692
2015-05-01,BP03_s2,0.4302653670310974
2015-05-01,BP05_s2,0.3875115215778351
2015-05-01,BP06_s2,0.40515416860580444
2015-05-01,BP08_s2,0.3620997667312622
2015-05-01,BP10_s2,0.44590795040130615
2015-05-01,BP13_s2,0.4596058428287506
2015-05-01,BP14_s2,0.5658812522888184
2015-05-01,LH01_s2,0.4049910008907318
2015-05-01,LH02_s2,0.4516379237174988
2015-05-01,LH07_s2,0.49635574221611023
2015-05-01,LH10_s2,0.4049910008907318
2015-05-01,PB02_s2,NA
2015-05-01,PB03_s2,NA
2015-05-01,PB10_s2,NA
2015-05-01,PB11_s2,NA
2015-05-01,PL02_s2,NA
2015-05-01,PL03_s2,NA
2015-05-01,PL14_s2,NA
2015-05-01,PL16_s2,0.40268683433532715
2015-06-01,BP01_s2,NA
2015-06-01,BP02_s2,0.28998661041259766
2015-06-01,BP03_s2,0.2886447608470917
2015-06-01,BP05_s2,0.6099730730056763
2015-06-01,BP06_s2,0.5240771770477295
2015-06-01,BP08_s2,0.465525358915329
2015-06-01,BP10_s2,NA
2015-06-01,BP13_s2,0.49049437046051025
2015-06-01,BP14_s2,0.4799196422100067
2015-06-01,LH01_s2,NA
