Date,Site,SST
2016-01-01,BP05_s2,15.5649995803833
2016-01-01,BP06_s2,16.869998931884766
2016-01-01,BP08_s2,16.475000381469727
2016-01-01,BP10_s2,16.809999465942383
2016-01-01,BP13_s2,17.85999870300293
2016-01-01,BP14_s2,16.600000381469727
2016-01-01,LH01_s2,19.270000457763672
2016-01-01,LH02_s2,21.209999084472656
2016-01-01,LH07_s2,18.645000457763672
2016-01-01,LH10_s2,17.434999465942383
2016-01-01,PB02_s2,NA
2016-01-01,PB03_s2,NA
2016-01-01,PB10_s2,NA
2016-01-01,PB11_s2,NA
2016-01-01,PL02_s2,NA
2016-01-01,PL03_s2,NA
2016-01-01,PL14_s2,NA
2016-01-01,PL16_s2,17.869998931884766
2016-02-01,BP01_s2,17.56999969482422
2016-02-01,BP02_s2,20.28999900817871
2016-02-01,BP03_s2,20.774999618530273
2016-02-01,BP05_s2,17.68000030517578
2016-02-01,BP06_s2,17.100000381469727
2016-02-01,BP08_s2,17.889999389648438
2016-02-01,BP10_s2,17.73499870300293
2016-02-01,BP13_s2,NA
2016-02-01,BP14_s2,17.494998931884766
2016-02-01,LH01_s2,NA
2016-02-01,LH02_s2,NA
2016-02-01,LH07_s2,NA
2016-02-01,LH10_s2,NA
2016-02-01,PB02_s2,NA
2016-02-01,PB03_s2,NA
2016-02-01,PB10_s2,NA
2016-02-01,PB11_s2,NA
2016-02-01,PL02_s2,20.94499969482422
2016-02-01,PL03_s2,NA
2016-02-01,PL14_s2,NA
2016-02-01,PL16_s2,20.619998931884766
2016-03-01,BP01_s2,19.844999313354492
2016-03-01,BP02_s2,21.969999313354492
2016-03-01,BP03_s2,19.46500015258789
2016-03-01,BP05_s2,19.299999237060547
2016-03-01,BP06_s2,19.75
2016-03-01,BP08_s2,19.154998779296875
2016-03-01,BP10_s2,19.59000015258789
2016-03-01,BP13_s2,19.385000228881836
2016-03-01,BP14_s2,20.020000457763672
2016-03-01,LH01_s2,21.06999969482422
2016-03-01,LH02_s2,19.73499870300293
2016-03-01,LH07_s2,20.725000381469727
2016-03-01,LH10_s2,20.739999771118164
2016-03-01,PB02_s2,NA
2016-03-01,PB03_s2,NA
2016-03-01,PB10_s2,NA
2016-03-01,PB11_s2,NA
2016-03-01,PL02_s2,NA
2016-03-01,PL03_s2,NA
2016-03-01,PL14_s2,NA
2016-03-01,PL16_s2,22.939998626708984
2016-04-01,BP01_s2,17.770000457763672
2016-04-01,BP02_s2,18.889999389648438
2016-04-01,BP03_s2,17.719999313354492
