t,Severity,ratio
2018-07-12,S2,0.018401015228426396
2018-07-13,S1,0.157994923857868
2018-07-13,S2,0.01692047377326565
2018-07-14,S1,0.16455160744500846
2018-07-14,S2,0.018929780033840948
2018-07-15,S1,0.1831641285956007
2018-07-15,S2,0.021467851099830796
2018-07-16,S1,0.1977580372250423
2018-07-16,S2,0.020410321489001692
2018-07-17,S1,0.19321065989847716
2018-07-17,S2,0.017978003384094755
2018-07-18,S1,0.2068527918781726
2018-07-18,S2,0.0163917089678511
2018-07-19,S1,0.22292724196277497
2018-07-19,S2,0.021362098138747884
2018-07-20,S1,0.20960236886632827
2018-07-20,S2,0.024217428087986465
2018-07-21,S1,0.1946912013536379
2018-07-21,S2,0.022313874788494076
2018-07-22,S1,0.19373942470389172
2018-07-22,S2,0.02030456852791878
2018-07-23,S1,0.1844331641285956
2018-07-23,S2,0.014488155668358715
2018-07-24,S1,0.18210659898477158
2018-07-24,S2,0.01353637901861252
2018-07-25,S1,0.16740693739424703
2018-07-25,S2,0.00983502538071066
2018-07-26,S1,0.1701565143824027
2018-07-26,S2,0.012267343485617596
2018-07-27,S1,0.1692047377326565
2018-07-27,S2,0.012055837563451776
2018-07-28,S1,0.15915820642978004
2018-07-28,S2,0.008883248730964468
2018-07-29,S1,0.1362098138747885
2018-07-29,S2,0.005076142131979695
2018-07-30,S1,0.13293147208121828
2018-07-30,S2,0.006979695431472081
2018-07-31,S1,0.13293147208121828
2018-07-31,S2,0.0075084602368866325
